VIN,EXTERIOR,INTERIOR,DATE_SOLD,CUSTOMER_ID
SAJAJ4FX8LCP55916,Yulong White Metallic,Ebony/Tonal Stitch,2020-05-01,1
SADCJ2FX2LA651904,Narvik Black,Ebony/Tonal Stitch,2020-05-15,2
SADCJ2FX3LA653693,Narvik Black,Ebony/Tonal Stitch,,3
SADCK2FX5LA617114,Silicon Silver Premium Metallic,Light Oyster/Pistachio,,
SADCK2GX8LA647237,Eiger Grey Metallic,Ebony/Tan Stitch,,
SADCK2GX1LA643093,Eiger Grey Metallic,Ebony/Tan Stitch,,
SADCL2GX2LA620676,Santorini Black Metallic,Ebony w/Pimento Red,,
SADCM2FV4LA634592,Silicon Silver Premium Metallic,Brogue/Light Oyster,,
SADCM2FV0LA618308,Eiger Grey Metallic,Ebony/Light Oyster Stitch,,
SADCP2FX2LA617413,Santorini Black Metallic,Ebony/Pimento,,
SADCX2GX1LA620642,Yulong White Metallic,Ebony,,
SADFK2FX6L1001113,Narvik Black,Lunar/Light Oyster,,
SADFP2FX7L1Z85731,Narvik Black,Lunar/Light Oyster,,
SADFP2FXXL1Z75811,Santorini Black Metallic,Lunar/Light Oyster,,
SADFP2FXXL1Z83570,Santorini Black Metallic,Lunar/Light Oyster,,
SADFP2FXXL1006851,Narvik Black,Ebony/Ebony Grained Leather,,
SADFP2FX0L1Z87773,Narvik Black,Ebony/Ebony Grained Leather,,
SADHB2S18L1F87455,Santorini Black Metallic,Light Oyster,,
SADHC2S18L1F83595,Fuji White,Ebony/Light Oyster Stitch,,
SADF12FX3L1003856,Yulong White,Ebony/Ebony,,
SADFL2GX4L1005625,Yulong White,Ebony/Ebony,,
SADFP2FX1L1003434,Corris Grey,Ebony/Ebony,,
SADFP2FX2L1Z89993,Narvik Black,Ebony/Ebony,,
SADFP2FX5L1Z87364,Borasco Grey,Ebony/Ebony,,
SADFP2FX2L1Z87306,Santorini Black,Ebony/Ebony,,
SADFP2FX5L1Z89776,Corris Grey,Ebony/Ebony,,
SADFP2FX4L1Z87324,Borasco Grey,Ebony/Ebony,,
SADCJ2FX9LA625218,Fuji White,Latte / Ebony,,
SADCK2GX1LA653381,Fuji White Solid,Ebony/Ebony,,
SADCK2GX0LA653145,Santorini Black Metallic,Ebony/Ebony,,
SADCM2FV8LA637818,Fuji White,Light Oyster w/Ebony / Ebony,,
SADF12FX6L1006489,Yulong White Metallic,Ebony/Ebony,,
SADCZ2EE6LA652028,Yulong White Metallic,Ebony/Ebony,,
SADCZ2EE3LA638135,Santorini Black,Ebony w/Pimento Red / Ebony,,
SADCZ2EE2LA637932,Ultra Blue,Ebony w/Light Oyster / Ebony,,
SADHD2S10L1F83832,Yulong White,Light Oyster / Ebony/Light Oyster,,
SAJD51FE5MCK70567,Eiger Grey,Tan / Ebony/Tan,,
SADCJ2FX8LA621922,Narvik Black,Ebony/Ebony,,
SADCJ2FX7LA624262,Indus Silver,Ebony/Ebony,,
SADCJ2FX7LA619062,Indus Silver,Ebony/Ebony,,
SADCJ2FX7LA623189,Fuji White,Ebony/Ebony,,
SADCM2FV4LA651487,Eiger Grey,Ebony/Ebony,,
SADCZ2EE7LA638039,Eiger Grey,Ebony/Ebony,,
SADCZ2EE2LA639695,Indus Silver,Ebony/Ebony,,
SAJD81FV3LCK63431,Carpathian Grey,Ebony/Ebony,,
SAJDZ1FE8LCK66967,Indus Silver,Ebony/Ebony,,
SADHD2S14L1F81226,Corris Grey,Ebony/Ebony,,
SADHB2S12L1F82543,Fuji White,Ebony/Ebony,,
SADHB2S11L1F80427,Firenze Red,Ebony/Ebony,,
SAJAJ4FX3LCP62787,Eiger Grey,Ebony/Ebony,,
SAJAJ4FX7LCP60816,Fuji White,Ebony/Ebony,,
